Product_Name,Category,Order_Date,Customer_ID,City,Country,Quantity,Unit_Price,Discount,Total_Value
USB Hub,Office,2024-02-01,CUST-244924,Wollongong,Australia,1,294.16,20,235.33
Noise Cancelling Headphones,Electronics,2023-12-18,CUST-111135,Canberra,Australia,5,534.18,0,2670.9
Mechanical Keyboard,Accessories,2025-05-27,CUST-564088,Townsville,Australia,5,575.08,15,2444.09
Gaming Mouse Pad,Gaming,2023-08-20,CUST-837229,Townsville,Australia,3,292.79,0,878.37
Portable SSD,Accessories,2023-11-14,CUST-900207,Gold Coast,Australia,5,165.31,5,785.22
Gaming Mouse Pad,Computing,2024-02-22,CUST-038178,Melbourne,Australia,1,422.63,15,359.24
Smartphone Case,Accessories,2025-02-16,CUST-372962,Hobart,Australia,4,280.33,10,1009.19
LED Desk Lamp,Mobile,2025-02-22,CUST-555893,Melbourne,Australia,2,503.96,5,957.52
External Hard Drive,Office,2023-12-10,CUST-062109,Gold Coast,Australia,1,112.97,0,112.97
Mechanical Keyboard,Office,2024-06-02,CUST-833781,Townsville,Australia,1,111.06,10,99.95
Gaming Keyboard,Gaming,2025-06-19,CUST-649236,Hobart,Australia,3,373.47,0,1120.41
USB-C Charger,Electronics,2025-06-01,CUST-524091,Perth,Australia,5,269.94,0,1349.7
LED Desk Lamp,Mobile,2025-05-04,CUST-777171,Melbourne,Australia,2,106.85,0,213.7
Webcam HD,Gaming,2023-09-12,CUST-268705,Newcastle,Australia,1,327.44,15,278.32
USB Hub,Accessories,2023-05-20,CUST-121932,Melbourne,Australia,3,34.44,5,98.15
Bluetooth Headphones,Computing,2024-06-05,CUST-801627,Gold Coast,Australia,1,235.38,0,235.38
Smartphone Case,Accessories,2023-02-15,CUST-951261,Brisbane,Australia,1,266.26,0,266.26
LED Desk Lamp,Electronics,2024-05-30,CUST-915827,Adelaide,Australia,5,98.48,5,467.78
LED Desk Lamp,Computing,2024-05-10,CUST-274739,Townsville,Australia,4,119.77,5,455.13
Smartphone Case,Mobile,2025-04-12,CUST-447340,Perth,Australia,5,482.92,0,2414.6
External Hard Drive,Gaming,2024-07-22,CUST-779578,Perth,Australia,1,553.09,10,497.78
Smartwatch,Accessories,2023-11-28,CUST-920113,Wollongong,Australia,3,172.85,20,414.84
USB-C Charger,Computing,2024-02-23,CUST-477388,Brisbane,Australia,4,334.1,0,1336.4
USB Hub,Computing,2023-06-08,CUST-028623,Geelong,Australia,2,441.48,20,706.37
Gaming Keyboard,Office,2023-08-20,CUST-666039,Perth,Australia,1,118.69,5,112.76
Fitness Tracker,Electronics,2023-02-22,CUST-805440,Hobart,Australia,2,323.81,15,550.48
Wireless Earbuds,Gaming,2024-08-23,CUST-883464,Sydney,Australia,5,365.22,0,1826.1
Mechanical Keyboard,Electronics,2025-05-14,CUST-059000,Brisbane,Australia,2,492.8,10,887.04
Laptop Stand,Electronics,2023-08-13,CUST-438157,Melbourne,Australia,2,458.34,0,916.68
LED Desk Lamp,Computing,2024-07-20,CUST-850735,Melbourne,Australia,3,34.08,15,86.9
Noise Cancelling Headphones,Mobile,2023-04-04,CUST-192589,Brisbane,Australia,3,195.72,20,469.73
Tablet 10in,Computing,2025-03-30,CUST-767267,Wollongong,Australia,5,559.55,0,2797.75
USB Hub,Electronics,2024-02-07,CUST-769334,Brisbane,Australia,5,294.72,0,1473.6
Gaming Mouse Pad,Mobile,2024-06-30,CUST-789151,Geelong,Australia,3,422.78,0,1268.34
4K Monitor,Electronics,2023-03-27,CUST-048640,Hobart,Australia,1,108.93,0,108.93
Laptop Backpack,Mobile,2025-01-28,CUST-095796,Melbourne,Australia,5,584.29,0,2921.45
Noise Cancelling Headphones,Computing,2024-11-18,CUST-417294,Brisbane,Australia,1,59.3,0,59.3
Noise Cancelling Headphones,Accessories,2025-03-16,CUST-397331,Melbourne,Australia,4,85.27,0,341.08
Wireless Mouse,Mobile,2025-02-23,CUST-383940,Wollongong,Australia,2,168.65,20,269.84
Wireless Earbuds,Computing,2024-05-12,CUST-619032,Perth,Australia,4,186.91,10,672.88
Smartwatch,Gaming,2024-02-03,CUST-877408,Geelong,Australia,3,45.09,15,114.98
Fitness Tracker,Accessories,2024-12-12,CUST-873151,Brisbane,Australia,2,556.03,10,1000.85
Fitness Tracker,Office,2024-08-24,CUST-655114,Hobart,Australia,3,258.61,5,737.04
Bluetooth Headphones,Mobile,2024-05-11,CUST-896599,Townsville,Australia,4,599.44,5,2277.87
Laptop Stand,Accessories,2024-05-26,CUST-490927,Gold Coast,Australia,1,189.11,10,170.2
Tablet 10in,Accessories,2023-03-20,CUST-985139,Perth,Australia,1,104.1,15,88.48
Fitness Tracker,Office,2024-11-06,CUST-291090,Hobart,Australia,1,136.14,15,115.72
Mechanical Keyboard,Office,2024-06-12,CUST-639255,Brisbane,Australia,5,451.12,5,2142.82
Wireless Mouse,Electronics,2024-07-01,CUST-078700,Newcastle,Australia,3,79.16,0,237.48
Gaming Mouse Pad,Electronics,2024-02-01,CUST-807369,Brisbane,Australia,5,205.89,0,1029.45
Gaming Mouse Pad,Mobile,2023-10-14,CUST-374942,Perth,Australia,5,102.99,20,411.96
Wireless Mouse,Accessories,2024-06-27,CUST-645451,Sydney,Australia,4,441.03,0,1764.12
Bluetooth Headphones,Computing,2024-09-14,CUST-273280,Newcastle,Australia,3,462.68,5,1318.64
LED Desk Lamp,Accessories,2025-04-14,CUST-803812,Adelaide,Australia,1,29.58,15,25.14
Portable SSD,Computing,2023-11-14,CUST-635642,Brisbane,Australia,1,547.98,10,493.18
USB Hub,Office,2025-02-04,CUST-079771,Canberra,Australia,5,23.46,10,105.57
Tablet 10in,Gaming,2024-08-02,CUST-347309,Perth,Australia,3,150.49,20,361.18
Gaming Mouse Pad,Gaming,2023-03-14,CUST-816728,Brisbane,Australia,4,295.36,15,1004.22
Portable SSD,Mobile,2023-07-07,CUST-945069,Canberra,Australia,3,307.01,20,736.82
Bluetooth Headphones,Electronics,2025-06-11,CUST-063111,Perth,Australia,3,564.01,0,1692.03
Portable SSD,Electronics,2023-02-05,CUST-826078,Brisbane,Australia,5,345.9,5,1643.02
Laptop Stand,Gaming,2024-04-19,CUST-493218,Sydney,Australia,1,246.06,20,196.85
4K Monitor,Gaming,2024-12-22,CUST-185646,Wollongong,Australia,2,102.65,10,184.77
USB Hub,Computing,2024-07-17,CUST-717382,Newcastle,Australia,2,479.12,0,958.24
Laptop Backpack,Office,2024-10-19,CUST-742565,Brisbane,Australia,4,345.88,5,1314.34
Smartphone Case,Electronics,2024-12-27,CUST-457268,Melbourne,Australia,2,231.38,20,370.21
Tablet 10in,Accessories,2024-08-11,CUST-559594,Canberra,Australia,4,108.86,0,435.44
Tablet 10in,Mobile,2023-05-24,CUST-799482,Townsville,Australia,2,353.33,15,600.66
USB-C Charger,Gaming,2025-01-07,CUST-871646,Wollongong,Australia,5,80.51,20,322.04
Wireless Mouse,Office,2023-05-06,CUST-586937,Townsville,Australia,2,201.47,5,382.79
Laptop Backpack,Accessories,2023-04-20,CUST-395044,Perth,Australia,3,159.16,15,405.86
Laptop Stand,Electronics,2024-11-07,CUST-944126,Melbourne,Australia,5,418.14,15,1777.09
Gaming Mouse Pad,Computing,2023-07-28,CUST-150238,Geelong,Australia,2,244.63,0,489.26
Smartphone Case,Gaming,2023-09-12,CUST-654249,Canberra,Australia,5,160.29,15,681.23
Mechanical Keyboard,Office,2023-06-27,CUST-591973,Hobart,Australia,2,48.34,0,96.68
Webcam HD,Gaming,2023-01-11,CUST-967197,Adelaide,Australia,2,225.08,0,450.16
Mechanical Keyboard,Electronics,2023-12-30,CUST-344826,Gold Coast,Australia,5,346.45,5,1645.64
Mechanical Keyboard,Office,2023-06-26,CUST-647254,Hobart,Australia,2,115.74,20,185.18
Webcam HD,Office,2024-10-07,CUST-939397,Sydney,Australia,4,157.76,0,631.04
Gaming Mouse Pad,Mobile,2023-10-17,CUST-296073,Geelong,Australia,1,297.33,5,282.46
External Hard Drive,Office,2023-01-17,CUST-253192,Canberra,Australia,4,443.81,0,1775.24
Tablet 10in,Electronics,2023-07-11,CUST-212092,Gold Coast,Australia,3,206.42,0,619.26
Noise Cancelling Headphones,Accessories,2025-05-27,CUST-323211,Geelong,Australia,2,333.14,0,666.28
Mechanical Keyboard,Gaming,2024-11-17,CUST-097006,Sydney,Australia,4,408.17,10,1469.41
Wireless Earbuds,Electronics,2025-01-13,CUST-745919,Brisbane,Australia,2,330.66,5,628.25
Laptop Backpack,Mobile,2025-02-22,CUST-911065,Perth,Australia,1,279.5,5,265.52
Gaming Mouse Pad,Mobile,2023-02-05,CUST-878570,Newcastle,Australia,2,267.44,5,508.14
Portable SSD,Computing,2023-09-22,CUST-535463,Townsville,Australia,4,479.36,5,1821.57
USB-C Charger,Gaming,2023-09-14,CUST-660064,Geelong,Australia,2,18.03,0,36.06
4K Monitor,Accessories,2023-08-26,CUST-699777,Sydney,Australia,5,377.42,10,1698.39
USB Hub,Office,2024-03-21,CUST-996155,Brisbane,Australia,5,69.6,0,348.0
Fitness Tracker,Computing,2024-08-21,CUST-978999,Brisbane,Australia,3,415.0,0,1245.0
4K Monitor,Electronics,2024-06-06,CUST-992334,Geelong,Australia,5,210.45,15,894.41
Wireless Earbuds,Computing,2025-05-07,CUST-339889,Newcastle,Australia,3,360.93,0,1082.79
Portable SSD,Mobile,2025-06-19,CUST-411468,Townsville,Australia,3,156.71,5,446.62
Noise Cancelling Headphones,Office,2024-02-15,CUST-150145,Canberra,Australia,5,477.25,0,2386.25
Fitness Tracker,Gaming,2024-04-17,CUST-254678,Canberra,Australia,5,359.28,0,1796.4
Fitness Tracker,Office,2023-03-06,CUST-376967,Newcastle,Australia,5,364.51,0,1822.55
USB-C Charger,Office,2024-11-07,CUST-316458,Hobart,Australia,5,323.67,0,1618.35
Gaming Keyboard,Gaming,2023-06-23,CUST-965271,Townsville,Australia,3,110.89,0,332.67
Smartwatch,Mobile,2023-11-07,CUST-478405,Geelong,Australia,3,127.78,0,383.34
Gaming Keyboard,Accessories,2024-01-21,CUST-259532,Newcastle,Australia,5,149.18,5,708.61
External Hard Drive,Electronics,2025-01-20,CUST-484658,Gold Coast,Australia,4,347.13,20,1110.82
LED Desk Lamp,Accessories,2023-01-10,CUST-371226,Wollongong,Australia,2,177.18,5,336.64
Wireless Mouse,Office,2023-01-12,CUST-766327,Canberra,Australia,1,495.6,0,495.6
USB Hub,Gaming,2023-03-23,CUST-584348,Gold Coast,Australia,2,74.22,20,118.75
Gaming Mouse Pad,Mobile,2024-02-25,CUST-892891,Brisbane,Australia,5,387.49,20,1549.96
Fitness Tracker,Mobile,2023-09-12,CUST-401354,Perth,Australia,2,570.28,0,1140.56
LED Desk Lamp,Gaming,2025-01-31,CUST-372735,Townsville,Australia,1,204.02,20,163.22
Gaming Keyboard,Computing,2023-08-31,CUST-748865,Townsville,Australia,3,157.09,20,377.02
Portable SSD,Mobile,2024-09-14,CUST-059708,Canberra,Australia,3,187.42,5,534.15
Smartphone Case,Office,2023-07-09,CUST-992156,Canberra,Australia,1,147.62,20,118.1
Smartphone Case,Gaming,2024-07-15,CUST-554331,Canberra,Australia,3,81.3,20,195.12
Smartwatch,Computing,2023-10-26,CUST-688801,Sydney,Australia,5,416.31,20,1665.24
Portable SSD,Mobile,2024-05-05,CUST-437707,Sydney,Australia,3,438.69,20,1052.86
Mechanical Keyboard,Computing,2024-07-15,CUST-042053,Geelong,Australia,4,176.81,0,707.24
Webcam HD,Electronics,2024-08-22,CUST-825607,Townsville,Australia,3,582.93,20,1399.03
USB Hub,Accessories,2023-04-19,CUST-300755,Wollongong,Australia,4,461.9,20,1478.08
Wireless Earbuds,Office,2023-11-14,CUST-661197,Hobart,Australia,3,422.19,10,1139.91
Smartphone Case,Electronics,2023-07-15,CUST-039085,Geelong,Australia,4,542.34,20,1735.49
USB-C Charger,Office,2024-01-12,CUST-406779,Newcastle,Australia,1,552.93,10,497.64
LED Desk Lamp,Office,2024-04-07,CUST-580931,Perth,Australia,3,39.99,5,113.97
Smartwatch,Gaming,2023-05-31,CUST-917168,Perth,Australia,4,87.64,0,350.56
Laptop Stand,Computing,2024-11-28,CUST-024781,Geelong,Australia,3,587.47,0,1762.41
Portable SSD,Office,2023-05-07,CUST-342285,Melbourne,Australia,3,579.82,10,1565.51
Laptop Backpack,Office,2024-11-29,CUST-984239,Melbourne,Australia,3,343.43,0,1030.29
Wireless Mouse,Office,2024-10-17,CUST-458140,Sydney,Australia,3,161.77,15,412.51
Laptop Stand,Electronics,2025-04-09,CUST-039951,Sydney,Australia,1,119.33,20,95.46
LED Desk Lamp,Mobile,2023-03-03,CUST-123109,Geelong,Australia,4,423.01,15,1438.23
Gaming Mouse Pad,Gaming,2024-08-20,CUST-106836,Townsville,Australia,5,245.8,15,1044.65
Noise Cancelling Headphones,Computing,2023-10-17,CUST-692152,Melbourne,Australia,2,59.7,15,101.49
Gaming Keyboard,Mobile,2024-05-20,CUST-293388,Newcastle,Australia,4,228.03,15,775.3
Laptop Stand,Accessories,2023-03-07,CUST-659266,Perth,Australia,2,535.23,5,1016.94
LED Desk Lamp,Accessories,2025-01-25,CUST-551890,Newcastle,Australia,5,539.84,5,2564.24
4K Monitor,Gaming,2023-02-09,CUST-897907,Geelong,Australia,5,572.56,0,2862.8
Gaming Mouse Pad,Gaming,2023-11-15,CUST-822632,Townsville,Australia,1,322.24,0,322.24
Smartphone Case,Computing,2024-01-20,CUST-791475,Hobart,Australia,2,117.0,15,198.9
Wireless Earbuds,Gaming,2025-05-02,CUST-006764,Hobart,Australia,1,17.46,5,16.59
Smartwatch,Gaming,2024-11-24,CUST-694860,Adelaide,Australia,3,152.43,20,365.83
Gaming Keyboard,Electronics,2023-06-29,CUST-086367,Geelong,Australia,4,416.38,10,1498.97
Wireless Earbuds,Electronics,2023-02-14,CUST-788923,Gold Coast,Australia,4,549.55,0,2198.2
Wireless Mouse,Gaming,2024-07-08,CUST-201625,Adelaide,Australia,4,70.77,5,268.93
Gaming Mouse Pad,Accessories,2023-09-16,CUST-967720,Canberra,Australia,4,135.27,10,486.97
4K Monitor,Computing,2023-04-05,CUST-768930,Perth,Australia,1,300.27,0,300.27
Fitness Tracker,Gaming,2024-10-03,CUST-548830,Perth,Australia,5,269.49,15,1145.33
Portable SSD,Accessories,2024-01-20,CUST-050287,Perth,Australia,4,56.47,20,180.7
Noise Cancelling Headphones,Accessories,2025-05-13,CUST-450153,Wollongong,Australia,4,90.26,0,361.04
Wireless Earbuds,Accessories,2023-01-22,CUST-654779,Sydney,Australia,5,556.54,15,2365.29
Gaming Keyboard,Electronics,2025-06-14,CUST-699063,Adelaide,Australia,1,294.42,15,250.26
Noise Cancelling Headphones,Accessories,2025-05-06,CUST-158799,Melbourne,Australia,3,419.0,5,1194.15
Bluetooth Headphones,Mobile,2024-11-27,CUST-303606,Wollongong,Australia,1,68.06,0,68.06
Wireless Earbuds,Mobile,2024-11-01,CUST-294291,Brisbane,Australia,4,405.49,15,1378.67
External Hard Drive,Electronics,2024-05-08,CUST-721029,Newcastle,Australia,1,161.8,5,153.71
4K Monitor,Gaming,2023-07-04,CUST-013704,Melbourne,Australia,5,391.91,0,1959.55
Noise Cancelling Headphones,Office,2025-01-11,CUST-483424,Geelong,Australia,3,564.09,10,1523.04
Portable SSD,Mobile,2023-11-03,CUST-692275,Perth,Australia,4,42.57,5,161.77
Wireless Earbuds,Mobile,2023-10-05,CUST-247431,Hobart,Australia,5,504.39,0,2521.95
Smartwatch,Mobile,2024-08-30,CUST-787669,Wollongong,Australia,1,215.07,10,193.56
Noise Cancelling Headphones,Mobile,2024-06-22,CUST-816923,Hobart,Australia,3,359.38,5,1024.23
USB-C Charger,Office,2024-08-12,CUST-132001,Canberra,Australia,5,205.28,15,872.44
Wireless Earbuds,Gaming,2023-06-17,CUST-899075,Hobart,Australia,1,171.14,5,162.58
Laptop Backpack,Mobile,2023-10-02,CUST-502669,Townsville,Australia,2,442.62,0,885.24
Laptop Backpack,Office,2025-01-16,CUST-959954,Sydney,Australia,2,260.79,0,521.58
Fitness Tracker,Gaming,2023-04-18,CUST-907045,Wollongong,Australia,1,505.57,15,429.73
Smartwatch,Gaming,2023-04-29,CUST-328761,Wollongong,Australia,4,399.93,15,1359.76
Laptop Backpack,Electronics,2023-10-26,CUST-766750,Sydney,Australia,2,429.64,5,816.32
Smartwatch,Mobile,2023-10-23,CUST-331819,Melbourne,Australia,4,174.05,0,696.2
Bluetooth Headphones,Accessories,2024-09-11,CUST-374669,Adelaide,Australia,1,409.68,20,327.74
Gaming Keyboard,Electronics,2025-06-07,CUST-319781,Sydney,Australia,1,356.18,10,320.56
External Hard Drive,Office,2023-05-13,CUST-773775,Brisbane,Australia,4,117.37,0,469.48
Gaming Mouse Pad,Electronics,2023-12-21,CUST-664392,Brisbane,Australia,5,74.18,20,296.72
Webcam HD,Gaming,2024-08-18,CUST-336514,Hobart,Australia,2,544.51,20,871.22
USB Hub,Office,2024-08-17,CUST-373192,Melbourne,Australia,1,494.53,0,494.53
Laptop Stand,Gaming,2025-05-10,CUST-119799,Hobart,Australia,5,580.04,20,2320.16
Bluetooth Headphones,Office,2023-01-07,CUST-795284,Wollongong,Australia,2,397.31,5,754.89
External Hard Drive,Electronics,2025-01-16,CUST-499027,Sydney,Australia,4,253.53,0,1014.12
Wireless Mouse,Mobile,2025-03-28,CUST-763537,Gold Coast,Australia,4,499.33,0,1997.32
4K Monitor,Electronics,2023-07-17,CUST-105102,Brisbane,Australia,3,369.96,5,1054.39
Portable SSD,Accessories,2023-01-08,CUST-525789,Sydney,Australia,1,75.1,15,63.83
